t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908511.116578,16.012336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908511.133578,16.029336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908511.150578,16.046336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908511.173578,16.069336,0.0075,-0.0023,-0.0332,0.5083,0.0202,-0.8609
1908511.189578,16.085336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908511.204578,16.100336,0.0075,-0.0023,-0.0332,0.5084,0.0201,-0.8609
1908511.216578,16.112336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908511.231578,16.127336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908511.247578,16.143336,0.0075,-0.0023,-0.0333,0.5083,0.0204,-0.8609
1908511.264578,16.160336,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908511.281578,16.177336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908511.298578,16.194336,0.0075,-0.0023,-0.0333,0.5084,0.0204,-0.8609
1908511.315578,16.211336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908511.330578,16.226336,0.0075,-0.0023,-0.0333,0.5084,0.0202,-0.8609
1908511.346578,16.242336,0.0075,-0.0023,-0.0332,0.5084,0.0201,-0.8609
1908511.362578,16.258336,0.0075,-0.0023,-0.0332,0.5084,0.0204,-0.8609
1908511.379578,16.275336,0.0075,-0.0023,-0.0333,0.5084,0.0204,-0.8609
1908511.397578,16.293336,0.0075,-0.0023,-0.0333,0.5084,0.0201,-0.8609
1908511.414578,16.310336,0.0075,-0.0023,-0.0332,0.5084,0.0203,-0.8609
1908511.430578,16.326336,0.0075,-0.0023,-0.0333,0.5084,0.0205,-0.8609
1908511.447578,16.343336,0.0076,-0.0024,-0.0333,0.5083,0.0203,-0.8609
1908511.464578,16.360336,0.0075,-0.0024,-0.0333,0.5084,0.02,-0.8609
1908511.481578,16.377336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908511.499578,16.395336,0.0075,-0.0024,-0.0333,0.5085,0.0205,-0.8608
1908511.516578,16.412336,0.0075,-0.0023,-0.0333,0.5084,0.0204,-0.8609
1908511.533578,16.429336,0.0075,-0.0024,-0.0333,0.5084,0.0201,-0.8609
1908511.549578,16.445336,0.0075,-0.0023,-0.0332,0.5084,0.0202,-0.8609
1908511.566578,16.462336,0.0075,-0.0024,-0.0333,0.5084,0.0206,-0.8609
